from,to,value
Arizona,Rhode Island,4440.231873252041
Arizona,South Carolina,3390.9759391871344
Arizona,South Dakota,1333.9132977634363
Arizona,Tennessee,2751.7008029546514
Arizona,Texas,1542.509623118642
Arizona,Utah,48.05295974212735
Arizona,Vermont,4306.877793185223
Arizona,Virginia,3699.6429496301134
Arizona,Washington,1118.896655183479
Arizona,West Virginia,3389.925262604929
Arizona,Wisconsin,2426.4468564371296
Arizona,Wyoming,459.2455154213257
Arkansas,Alabama,620.8840327881311
Arkansas,Alaska,6677.271251856299
Arkansas,Arizona,2119.8292910627356
Arkansas,Arkansas,0.3285361310726361
Arkansas,California,3037.513558927945
Arkansas,Colorado,1439.0897101562662
Arkansas,Connecticut,2182.0791027211944
Arkansas,Delaware,1876.000188708559
Arkansas,Florida,1188.6396565735668
Arkansas,Georgia,971.0417451661958
Arkansas,Hawaii,7243.866900524877
Arkansas,Idaho,2458.814105758127
Arkansas,Illinois,376.7338266797092
Arkansas,Indiana,680.1530642835078
Arkansas,Iowa,93.1449797307345
Arkansas,Kansas,484.2241560524879
Arkansas,Kentucky,856.8094925087709
Arkansas,Louisiana,56.20719267590142
Arkansas,Maine,2557.3067124507556
Arkansas,Maryland,1731.9620063268396
Arkansas,Massachusetts,2318.3651228174563
Arkansas,Michigan,871.7111746428355
Arkansas,Minnesota,169.85615218933566
Arkansas,Mississippi,299.70064146288695
Arkansas,Missouri,9.432803218807514
Arkansas,Montana,2011.1724277600035
Arkansas,Nebraska,655.6955928178098
Arkansas,Nevada,2745.402885224024
Arkansas,New Hampshire,2314.6066667921373
Arkansas,New Jersey,1985.6872625126882
Arkansas,New Mexico,1543.3541061891829
Arkansas,New York,1938.1876752178316
Arkansas,North Carolina,1397.7922238173974
Arkansas,North Dakota,824.3122169945281
Arkansas,Ohio,1068.7192191621868
Arkansas,Oklahoma,506.74051746075656
Arkansas,Oregon,3303.2832289178214
Arkansas,Pennsylvania,1686.6187207495475
Arkansas,Rhode Island,2320.4035207198444
Arkansas,South Carolina,1271.1472743634408
Arkansas,South Dakota,785.9174614565119
Arkansas,Tennessee,631.8718703473409
Arkansas,Texas,577.3207277061299
Arkansas,Utah,2167.79304055415
Arkansas,Vermont,2187.0494077605977
Arkansas,Virginia,1579.8143911058144
Arkansas,Washington,3238.720539954556
Arkansas,West Virginia,1270.0965973943435
Arkansas,Wisconsin,306.61779826633875
Arkansas,Wyoming,1660.591237730527
California,Alabama,3658.397236563194
California,Alaska,3639.7617140542948
California,Arizona,917.6905034016313
California,Arkansas,3037.513558927945
California,California,3.9289097653942058
California,Colorado,1598.4264713384161
California,Connecticut,5219.591628928911
California,Delaware,4913.512824965143
California,Florida,4226.15257979376
California,Georgia,4008.554772267677
California,Hawaii,4206.357039256845
California,Idaho,578.7106330963363
California,Illinois,3414.2471413462877
California,Indiana,3717.666238005264
California,Iowa,2944.369449443518
California,Kansas,2553.290232226885
California,Kentucky,3894.322576456396
California,Louisiana,3093.719945900758
California,Maine,5594.819115659427
California,Maryland,4769.474697846537
California,Massachusetts,5355.877602948858
California,Michigan,3909.2242510998294
California,Minnesota,2867.6580904695957
California,Mississippi,3337.2139766218315
California,Missouri,3046.9408349561886
California,Montana,1026.3464708190643
California,Nebraska,2381.8189950540495
California,Nevada,292.1349534501373
California,New Hampshire,5352.119148171856
California,New Jersey,5023.199858226004
California,New Mexico,1494.162416354307
California,New York,4975.700288330277
California,North Carolina,4435.305053235458
California,North Dakota,2213.2026118101026
California,Ohio,4106.232198862429
California,Oklahoma,2530.7738942234378
California,Oregon,265.8008185138219
California,Pennsylvania,4724.131430164736
California,Rhode Island,5357.916000174741
California,South Carolina,4308.660159864834
California,South Dakota,2251.597308603915
California,Tennessee,3669.3850685767743
California,Texas,2460.193763031203
California,Utah,869.7272201958499
California,Vermont,5224.561932257959
California,Virginia,4617.32714366022
California,Washington,201.2474495679483
California,West Virginia,4307.609483370176
California,Wisconsin,3344.1311322435663
California,Wyoming,1376.9257296105532
Colorado,Alabama,2059.973389598489
Colorado,Alaska,5238.183151700987
Colorado,Arizona,680.7440630273867
Colorado,Arkansas,1439.0897101562662
Colorado,California,1598.4264713384161
Colorado,Colorado,2.0951363256599516
Colorado,Connecticut,3621.1680337625203
Colorado,Delaware,3315.0891773933454
Colorado,Florida,2627.728814438763
Colorado,Georgia,2410.130972215286
Colorado,Hawaii,5804.778748483638
Colorado,Idaho,1019.7278034743604
Colorado,Illinois,1815.8232747884454
Colorado,Indiana,2119.2423978060588
Colorado,Iowa,1345.945621358625
Colorado,Kansas,954.8666518745099
Colorado,Kentucky,2295.898759521898
Colorado,Louisiana,1495.296088673064
Colorado,Maine,3996.395583112924
Colorado,Maryland,3171.0510253618186
Colorado,Massachusetts,3757.4540307620873
Colorado,Michigan,2310.8004362990127
Colorado,Minnesota,1269.2342871445646
Colorado,Mississippi,1738.7901076753062
Colorado,Missouri,1448.5169845741714
